Name,OttoneuID,"FG MajorLeagueID","FG MinorLeagueID","MLB Org",Position(s),"Avg Salary","Median Salary","Min Salary","Max Salary","Last 10",Roster%
"Freddy Peralta",19168,18679,sa737343,NYM,SP,$20.08,$20.00,$11,$29,$19.80,100
"James Wood",40188,29518,sa3016870,WSN,OF,$19.97,$19.00,$7,$58,$34.50,100
"Spencer Strider",38736,27498,sa3015059,ATL,SP,$19.78,$20.00,$7,$37,$15.60,99.301
"Riley Greene",36509,25976,sa3010694,DET,OF,$19.69,$19.00,$10,$36,$27.40,100
"Cody Bellinger",19328,15998,sa737794,NYY,OF,$19.64,$20.00,$9,$40,$22.90,100
"Jazz Chisholm Jr.",23762,20454,sa919327,NYY,2B/3B,$19.34,$18.00,$11,$46,$29.30,100
"Randy Arozarena",23840,19290,sa914549,SEA,OF,$19.22,$19.00,$7,$38,$20.40,100
"Brent Rooker",23793,19627,sa3003172,ATH,OF,$18.57,$18.00,$4,$40,$31.10,100
"Cristopher Sanchez",20975,20778,sa828749,PHI,SP,$18.55,$18.00,$9,$44,$32.40,100
"Hunter Brown",37201,25880,sa3010571,HOU,SP,$18.22,$18.00,$8,$32,$22.90,100
"Jarren Duran",33685,24617,sa3006786,BOS,OF,$18.20,$17.00,$9,$33,$17.40,100
"Kevin Gausman",18196,14107,sa548347,TOR,SP,$18.00,$18.00,$7,$29,$16.80,100
"Nick Kurtz",45716,35110,sa3025385,ATH,1B,$17.94,$16.00,$4,$50,$41.10,100
"Oneil Cruz",32291,21711,sa917318,PIT,OF,$17.92,$18.00,$7,$33,$17.50,100
"Teoscar Hernandez",23651,13066,sa596861,LAD,OF,$17.85,$18.00,$5,$29,$16.80,99.301
"Sonny Gray",18113,12768,sa455516,BOS,SP,$17.81,$18.00,$9,$27,$12.40,90.21
"Brandon Nimmo",18126,12927,sa597760,TEX,OF,$17.78,$18.00,$1,$35,$17.60,100
"Ian Happ",18479,17919,sa827194,CHC,OF,$17.75,$18.00,$7,$30,$19.20,100
"Will Smith",23654,19197,sa873265,LAD,C,$17.70,$18.00,$8,$29,$16.60,99.301
"Hunter Greene",23824,22182,sa3005315,CIN,SP,$17.40,$17.00,$10,$36,$16.20,97.203
"William Contreras",22391,20503,sa872847,MIL,C,$17.13,$17.00,$9,$31,$18.00,100
"Jacob DeGrom",14294,10954,sa548447,TEX,SP,$17.03,$17.00,$9,$29,$20.50,100
"Jackson Merrill",40142,29490,sa3016829,SDP,OF,$16.87,$16.00,$6,$38,$23.40,100
"Bryan Reynolds",23825,19326,sa873683,PIT,OF,$16.66,$17.00,$6,$32,$15.10,100
"Wyatt Langford",43896,33333,sa3022654,TEX,OF,$16.61,$16.00,$6,$37,$30.40,100
"Joe Ryan",35196,21390,sa3007584,MIN,SP,$16.40,$16.00,$4,$29,$17.20,100
"Bryan Woo",41042,30279,sa3018290,SEA,SP,$16.27,$16.00,$7,$38,$29.20,100
"Byron Buxton",18163,14161,sa657851,MIN,OF,$16.10,$16.00,$7,$39,$21.00,100
"Willy Adames",18407,15986,sa736655,SFG,SS,$15.80,$15.00,$6,$28,$11.70,92.308
"Edwin Diaz",23601,14710,sa657938,LAD,RP,$15.75,$16.00,$6,$30,$9.40,72.028
"Kazuma Okamoto",48239,37123,sa3063134,TOR,1B/3B,$15.13,$15.00,$6,$32,$11.20,99.301
"Mason Miller",40862,31757,sa3017934,SDP,RP,$15.06,$15.00,$7,$29,$19.50,100
